nama,time,gazeX,gazeY,label
Aditya2,8297,82.7136,528.552,2
Aditya2,8313,71.5584,521.0244,2
Aditya2,8330,-0.0014,562.9392,2
Aditya2,8346,31.0272,586.1052,2
Aditya2,8363,35.904,588.546,2
Aditya2,8379,180.9792,577.0656,2
Aditya2,8395,239.6352,544.2877,2
Aditya2,8412,251.0016,554.2344,2
Aditya2,8428,296.0064,573.2532,2
Aditya2,8445,319.9872,619.9308,2
Aditya2,8461,326.8416,624.6288,2
Aditya2,8478,289.9968,614.5308,2
Aditya2,8494,236.1024,604.584,2
Aditya2,8510,216.384,590.4684,2
Aditya2,8527,198.0288,562.4316,2
Aditya2,8543,249.12,580.0356,2
Aditya2,8560,249.12,580.0356,2
Aditya2,8576,217.824,550.8432,2
Aditya2,8593,194.4384,600.858,2
Aditya2,8609,197.4336,603.5148,2
Aditya2,8625,270.5472,600.5124,2
Aditya2,8642,283.296,618.0192,2
Aditya2,8658,290.016,623.052,2
Aditya2,8675,426.3168,571.914,2
Aditya2,8691,426.1248,571.2768,2
Aditya2,8708,421.2864,564.9804,2
Aditya2,8724,417.6576,570.2724,2
Aditya2,8740,404.7552,539.1252,2
Aditya2,8757,395.7696,530.4852,2
Aditya2,8773,359.7312,545.1084,2
Aditya2,8790,418.0032,551.8584,2
Aditya2,8806,426.2208,561.0492,2
Aditya2,8823,468.4608,537.5484,2
Aditya2,8839,463.2768,542.646,2
Aditya2,8855,465.984,545.5728,2
Aditya2,8872,530.1888,541.0152,2
Aditya2,8888,600.7296,607.2408,2
Aditya2,8905,596.9088,602.0784,2
Aditya2,8921,560.256,552.1392,2
Aditya2,8938,556.896,553.7267,2
Aditya2,8954,552.864,548.2512,2
Aditya2,8970,580.992,565.1208,2
Aditya2,8987,521.3568,511.2828,2
Aditya2,9003,522.8544,512.4708,2
Aditya2,9020,581.376,523.0764,2
Aditya2,9036,559.2,559.1808,2
Aditya2,9053,557.8176,559.2564,2
Aditya2,9069,564.9792,548.0568,2
Aditya2,9085,563.4432,530.9496,2
Aditya2,9102,564.8256,532.2132,2
Aditya2,9118,596.7936,537.9912,2
Aditya2,9135,580.8,532.6236,2
Aditya2,9151,578.016,529.3512,2
Aditya2,9168,794.7072,502.9884,2
Aditya2,9184,747.8592,574.5168,2
Aditya2,9201,750.6432,580.7592,2
Aditya2,9217,741.4656,534.1032,2
Aditya2,9233,741.12,541.026,2
Aditya2,9250,741.12,541.026,2
